Site,Yparm,method,rows,created,ownername,edited,transfer
BLAY    ,Q      ,GSLOG2  ,70,89JAN12,CSCHWIEGE,20SEP11 0510,....... ....
BLCK    ,HH     ,GSSHIFT2,3,92JUL21,CSCHWIEGE,15OCT21 0847,....... ....
BLCK    ,OFF    ,LINEAR  ,3,9-Aug-05,CSCHWIEGE,15MAR26 1343,....... ....
BLCK    ,Q      ,GSLOG2  ,37,89JAN12,KBUCKALLE,19JUL26 0855,....... ....
BLDM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1340,....... ....
BLDM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20FEB10 0724,....... ....
BLDM    ,Q      ,GSLOG2  ,84,88OCT04,NPHELPS  ,20APR02 0510,....... ....
BLR     ,AF     ,LINEAR  ,132,87JAN14,PDAVIDSON,96JUN20 1505,....... ....
BLUDILCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1407,....... ....
BLUDILCO,Q      ,GSLOG2  ,41,95JUL11,CLORA    ,19SEP05 0510,....... ....
BLUGRECO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1350,....... ....
BLUGRECO,Q      ,GSLOG2  ,129,95JUL11,MHENNEBER,20MAY16 0510,....... ....
BONC    ,ACE    ,ACECOEF ,22,94AUG15,MROUSE   ,11MAY27 1147,....... ....
BOUTUNCO,HH     ,GSSHIFT2,71,1-Mar-29,LHOPKINS ,15MAY18 0444,....... ....
BOUTUNCO,Q      ,GSLOG2  ,61,90JUL13,VLEE     ,15FEB18 1039,....... ....
BOYR    ,ACE    ,ACECOEF ,27,96OCT23,CSCHWIEGE,01AUG30 1240,....... ....
BRDM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1337,....... ....
BRDM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19NOV04 0721,....... ....
BRDM    ,Q      ,GSLOG2  ,35,88DEC28,NPHELPS  ,20SEP10 0510,....... ....
BRTB    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1338,....... ....
BRTB    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1121,....... ....
BRTB    ,Q      ,GSLOG2  ,37,88SEP14,NPHELPS  ,20SEP12 0510,....... ....
BSCK    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1353,....... ....
BSCK    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20JUL08 0821,....... ....
BSCK    ,Q      ,GSLOG2  ,130,88AUG18,NPHELPS  ,20AUG14 0510,....... ....
BTABCMCO,Q      ,LINEAR  ,19,16-May-09,CLORA    ,16MAY09 1218,....... ....
BTABESCO,Q      ,LINEAR  ,34,1-May-09,CLORA    ,11JUN21 1006,....... ....
BTBLESCO,Q      ,LINEAR  ,71,1-May-09,CLORA    ,01MAY09 0931,....... ....
BTCANYCO,Q      ,LINEAR  ,47,91JAN30,CLORA    ,02APR17 1559,....... ....
BTDM    ,Q      ,GSLOGLOG,30,88DEC28,NPHELPS  ,97MAY19 0826,....... ....
BTNFDRCO,Q      ,LINEAR  ,241,91JAN30,LDEAVILA ,11OCT27 1445,....... ....
BUSTUNCO,Q      ,LINEAR  ,401,11-Oct-27,LDEAVILA ,11OCT27 1456,....... ....
BVB     ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1337,....... ....
BVB     ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0807,....... ....
BVB     ,Q      ,GSLOG2  ,26,88DEC28,NPHELPS  ,20JUN19 0510,....... ....
BVTB    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1337,....... ....
BVTB    ,OFF    ,LINEAR  ,2,6-Aug-24,CJORDAN  ,20AUG20 0705,....... ....
BVTB    ,Q      ,GSLOG2  ,47,88SEP14,NPHELPS  ,20JUL28 0510,....... ....
BWNE    ,QC     ,LINEAR  ,201,98MAR04,CSCOTT   ,02MAY29 0754,....... ....
CAAWNE  ,QC     ,LINEAR  ,8,14-Jul-31,HYDROMET ,14JUL31 0848,....... ....
CANE    ,AF     ,LINEAR  ,85,94JAN04,WPECK    ,15JUN15 0918,....... ....
CAOXNE  ,QC     ,LINEAR  ,46,10-Jul-01,MROUSE   ,11JUL15 0816,....... ....
