Site,Yparm,method,rows,created,ownername,edited,transfer
MARI    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18AUG01 0949,....... ....
MARI    ,Q      ,GSLOG2  ,80,88OCT04,NPHELPS  ,20AUG25 0510,....... ....
MARM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14JUN03 0937,....... ....
MARM    ,OFF    ,LINEAR  ,5,6-Aug-24,KWEIDICH ,20JUL31 0834,....... ....
MARM    ,Q      ,GSLOG2  ,108,88AUG23,NPHELPS  ,20AUG01 0510,....... ....
MARYSR  ,AF     ,LINEAR  ,40,91JAN28,CLORA    ,03DEC18 1407,....... ....
MAWY    ,Q      ,LINEAR  ,100,87JUL17,PDAVIDSON,92OCT15 1412,....... ....
MBGT    ,Q      ,GSLOGLOG,6,4-Mar-11,LDEAVILA ,04SEP10 1037,....... ....
MBWY    ,Q      ,GSLOGLOG,34,88AUG15,AJENSEN  ,12APR27 1401,....... ....
MCABNE  ,Q      ,GSLOGLOG,14,98APR30,WPECK    ,12SEP20 1416,....... ....
MCARNE  ,Q      ,GSLOGLOG,34,98APR30,MROUSE   ,10JUN28 1247,....... ....
MCBLNE  ,Q      ,GSLOGLOG,24,98APR30,WPECK    ,12SEP20 1039,....... ....
MCCM    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,18FEB15 1427,....... ....
MCCM    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18FEB15 1429,....... ....
MCCM    ,Q      ,GSLOG2  ,18,88OCT04,NPHELPS  ,08APR18 1243,....... ....
MCDH    ,ACE    ,ACECOEF ,25,18-Nov-01,HYDROMET ,18NOV01 1154,....... ....
MCDH    ,AF     ,LINEAR  ,47,87JUN19,RMICHEL  ,12APR17 1035,....... ....
MCDH    ,AFOLD  ,LINEAR  ,99,87JUN19,LDEAVILA ,12MAY04 1603,....... ....
MCDH    ,AR     ,LINEAR  ,34,12-Apr-09,LDEAVILA ,12MAY11 0830,....... ....
MCDH    ,QS     ,LINEAR  ,15,87JUL09,PDAVIDSON,91JUL17 1431,....... ....
MCNE    ,QC     ,GSLOGLOG,2,3-Apr-29,CSCOTT   ,04MAY25 1153,....... ....
MCUBYPCO,Q      ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1314,....... ....
MCUDIVCO,Q      ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1325,....... ....
MCUDIVCO,QC     ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1308,....... ....
MCVM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1347,....... ....
MCVM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0826,....... ....
MCVM    ,Q      ,GSLOG2  ,77,88OCT04,NPHELPS  ,20MAR03 0510,....... ....
MCWY    ,Q      ,GSLOGLOG,39,2-Apr-17,CSCHWIEGE,02APR17 1403,....... ....
MDNE    ,QC     ,LINEAR  ,373,98MAR04,WPECK    ,15JUN30 1225,....... ....
MDWNE   ,QC     ,LINEAR  ,33,10-Jul-01,WPECK    ,14AUG15 0648,....... ....
MELM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1340,....... ....
MELM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0810,....... ....
MELM    ,Q      ,GSLOG2  ,81,88DEC28,NPHELPS  ,20SEP16 0510,....... ....
MFBM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1347,....... ....
MFBM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0828,....... ....
MFBM    ,Q      ,GSLOG2  ,130,88OCT04,NPHELPS  ,20SEP10 0510,....... ....
MGFM    ,HH     ,GSSHIFT2,3,92JUL21,SMICEK   ,14SEP04 1354,....... ....
MGFM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0827,....... ....
MGFM    ,Q      ,GSLOG2  ,61,88OCT04,NPHELPS  ,18OCT23 0510,....... ....
MGNE    ,QC     ,LINEAR  ,41,1-May-17,RDSMITH  ,02MAY14 1020,....... ....
MHVM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14JUN17 0919,....... ....
MHVM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20APR26 1043,....... ....
MHVM    ,Q      ,GSLOG2  ,151,88OCT04,NPHELPS  ,20AUG13 0510,....... ....
MICGOUCO,Q      ,LINEAR  ,12,94OCT17,GSANO    ,94NOV21 1045,....... ....
MIDDIVCO,Q      ,LINEAR  ,16,91JUN03,CLORA    ,04SEP15 0901,....... ....
MIDDIVCO,QC     ,LINEAR  ,16,91JUN03,CLORA    ,04JUN09 1314,....... ....
MLKACCT ,EVAP   ,GSLOGLOG,21,97MAY29,NPHELPS  ,02JUN05 1448,....... ....
MLS     ,HH     ,GSSHIFT2,0,92JUL21,KWEIDICH ,17JUL11 1254,....... ....
MLS     ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1319,....... ....
MLS     ,Q      ,GSLOG2  ,7,88AUG18,KWEIDICH ,17JUL11 1409,....... ....
MLTO    ,HH     ,GSSHIFT2,1,92JUL21,NPHELPS  ,09JUN23 1024,....... ....
MLTO    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1320,....... ....
MLTO    ,Q      ,GSLOG2  ,6,88OCT04,KWEIDICH ,18FEB16 0916,....... ....
MNVM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,07OCT19 1026,....... ....
MNVM    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18FEB21 1324,....... ....
MNVM    ,Q      ,GSLOG2  ,7,88OCT04,NPHELPS  ,04MAY18 1131,....... ....
MORDIVCO,Q      ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1459,....... ....
MORDIVCO,QC     ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1504,....... ....
MPWY    ,HH     ,GSSHIFT2,2,10-Jun-15,DKNUTESON,16AUG19 1325,....... ....
MPWY    ,Q      ,GSLOG2  ,12,6-Apr-13,DKNUTESON,17MAR22 1215,....... ....
MRCM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1342,....... ....
MRCM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1325,....... ....
MRCM    ,Q      ,GSLOG2  ,27,88OCT04,NPHELPS  ,20SEP09 0510,....... ....
MRDM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP16 1403,....... ....
MRDM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0832,....... ....
MRDM    ,Q      ,GSLOG2  ,277,88OCT04,NPHELPS  ,20AUG26 0510,....... ....
MREC    ,HH     ,GSSHIFT2,2,92JUL21,KWEIDICH ,18APR18 0825,....... ....
MREC    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20SEP09 0727,....... ....
MREC    ,Q      ,GSLOG2  ,97,88DEC28,NPHELPS  ,20SEP16 0510,....... ....
MRHM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP16 1403,....... ....
MRHM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB16 0939,....... ....
MRHM    ,Q      ,GSLOG2  ,250,88NOV15,NPHELPS  ,20AUG26 0510,....... ....
MRLM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,13JUL09 1004,....... ....
MRLM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20MAY08 0845,....... ....
MRLM    ,Q      ,GSLOG2  ,93,88OCT04,NPHELPS  ,20JUL31 0510,....... ....
MRMM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1401,....... ....
MRMM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0832,....... ....
MRMM    ,Q      ,GSLOG2  ,223,88OCT04,NPHELPS  ,20AUG26 0510,....... ....
MRMR    ,HH_M   ,GSSHIFT2,3,3-May-08,NPHELPS  ,09SEP04 1403,....... ....
MRMR    ,Q_M    ,GSLOG2  ,49,88AUG18,NPHELPS  ,03OCT10 0954,....... ....
MRNE    ,ACE    ,ACECOEF ,49,5-Oct-25,LDEAVILA ,05OCT25 1004,....... ....
MRNE    ,OLDAF  ,LINEAR  ,129,94JAN03,LDEAVILA ,05OCT25 1132,....... ....
MRNE    ,QC     ,LINEAR  ,47,98MAY18,JWERGIN  ,98MAY18 1418,....... ....
MRTM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1403,....... ....
MRTM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19MAY10 0735,....... ....
MRTM    ,Q      ,GSLOG2  ,285,88OCT04,NPHELPS  ,20AUG27 0510,....... ....
MRWC    ,HH_M   ,GSSHIFT2,3,92JUL21,NPHELPS  ,09SEP03 0818,....... ....
MRWC    ,Q_M    ,GSLOG2  ,63,88AUG18,NPHELPS  ,09MAY05 1449,....... ....
MTELFBCO,ACE    ,ACECOEF ,15,94NOV29,MHENNEBER,07FEB08 1035,....... ....
MUDKRECO,HH     ,GSSHIFT2,0,2-Apr-26,CLORA    ,09JAN14 1352,....... ....
MUDKRECO,Q      ,GSLOG2  ,66,2-Apr-26,CLORA    ,20SEP12 0510,....... ....
MUTT    ,HH     ,GSSHIFT2,2,92JUL21,DKNUTESON,15SEP11 0835,....... ....
MUTT    ,OLD    ,SEMILOGY,28,87JAN14,LDEAVILA ,05JUN17 1036,....... ....
MUTT    ,Q      ,GSLOG2  ,181,87JAN14,DKNUTESON,20JUN02 0510,....... ....
MWYM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1341,....... ....
MWYM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB16 1029,....... ....
MWYM    ,Q      ,GSLOG2  ,26,88OCT04,NPHELPS  ,20FEB29 0510,....... ....
NAMT    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1403,....... ....
NAMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19APR01 0814,....... ....
NAMT    ,Q      ,GSLOG2  ,301,88AUG19,NPHELPS  ,20AUG26 0510,....... ....
NASTY   ,AF     ,LINEAR  ,58,91APR01,LDEAVILA ,12APR20 1202,....... ....
NASTY   ,AR     ,LINEAR  ,30,12-Apr-12,LDEAVILA ,12APR20 1205,....... ....
NCOT    ,HH     ,GSSHIFT2,3,92JUL21,LDEAVILA ,16APR21 1418,....... ....
NCOT    ,Q      ,GSLOG2  ,232,87JAN14,LDEAVILA ,20MAR25 0510,....... ....
NCUDIVCO,Q      ,LINEAR  ,16,91JUN03,CLORA    ,11JUN01 0913,....... ....
NCUDIVCO,QC     ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1522,....... ....
NELFDRMT,QC     ,GSLOGLOG,16,88OCT06,NPHELPS  ,07MAY16 1306,....... ....
NELR    ,ACE    ,ACECOEF ,36,89MAY08,NPHELPS  ,03APR24 1401,....... ....
NELR    ,OLD    ,LINEAR  ,49,87APR09,NPHELPS  ,01OCT09 1026,....... ....
NFKDIVCO,QC     ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1533,....... ....
NFMA    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1352,....... ....
NFMA    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0830,....... ....
NFMA    ,Q      ,GSLOG2  ,97,88OCT07,NPHELPS  ,20SEP03 0510,....... ....
NFMB    ,HH_M   ,GSSHIFT2,3,92JUL21,NPHELPS  ,09SEP04 1405,....... ....
NFMB    ,Q      ,GSLOG2  ,15,88OCT07,NPHELPS  ,03JUN18 1113,....... ....
NFMB    ,Q_M    ,GSLOG2  ,36,88AUG18,NPHELPS  ,09MAY05 1405,....... ....
NFNE    ,QC     ,GSLOGLOG,13,1-May-17,CSCHWIEGE,04MAY25 1512,....... ....
NFS     ,HH     ,GSSHIFT2,3,1-Jun-04,HYDROMET ,19JUN11 1617,....... ....
NFS     ,OFF    ,LINEAR  ,2,6-Aug-24,CSCHWIEGE,15MAY19 0803,....... ....
NFS     ,Q      ,GSLOG2  ,90,88DEC28,CSCHWIEGE,20JUL18 0510,....... ....
NFSM    ,HH     ,GSSHIFT2,3,92JUL21,SMICEK   ,14AUG25 1532,....... ....
NFSM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1402,....... ....
NFSM    ,Q      ,GSLOG2  ,80,88DEC28,SMICEK   ,19DEC10 0510,....... ....
NFWY    ,HH     ,GSSHIFT2,3,1-Apr-17,CSCHWIEGE,07APR26 1126,....... ....
NFWY    ,Q      ,GSLOG2  ,6,89JAN12,CSCHWIEGE,07MAR20 1451,....... ....
NGCL    ,HH     ,LINEAR  ,3,14-Sep-12,CSCHWIEGE,15AUG25 0846,....... ....
NGCL    ,Q      ,GSLOG2  ,29,94OCT17,LDEAVILA ,15AUG25 1449,....... ....
NONDIVCO,Q      ,LINEAR  ,16,91JUN03,CLORA    ,04SEP15 0900,....... ....
NONDIVCO,QC     ,LINEAR  ,16,91JUN03,CLORA    ,04JUN09 1313,....... ....
NORMAN  ,AF     ,LINEAR  ,174,90OCT23,LDEAVILA ,12APR25 1248,....... ....
NORMAN  ,AFOLD  ,LINEAR  ,125,90OCT23,LDEAVILA ,12APR25 1132,....... ....
NORMAN  ,AR     ,LINEAR  ,45,12-Apr-25,LDEAVILA ,12APR25 1618,....... ....
NPCW    ,Q      ,GSLOGLOG,8,7-Oct-11,RDSMITH  ,07OCT11 0823,....... ....
NPOW    ,Q      ,GSLOGLOG,18,00JUN20,BCANNON  ,09FEB04 1124,....... ....
NRBT    ,HH     ,GSSHIFT2,2,95MAY05,DKNUTESON,15SEP11 0837,....... ....
NRBT    ,Q      ,GSLOG2  ,326,95MAY11,DKNUTESON,20SEP10 0510,....... ....
NRMT    ,HH     ,GSSHIFT2,3,95MAY05,HYDROMET ,15SEP11 1221,....... ....
NRMT    ,Q      ,GSLOG2  ,495,95MAY04,LDEAVILA ,20AUG28 0510,....... ....
NRTT    ,HH     ,GSSHIFT2,3,92JUL21,LDEAVILA ,16APR21 1419,....... ....
NRTT    ,Q      ,GSLOG2  ,244,87JAN14,LDEAVILA ,20SEP10 0510,....... ....
NTRT    ,HH     ,GSSHIFT2,3,95MAY05,LDEAVILA ,16APR22 0751,....... ....
NTRT    ,Q      ,GSLOG2  ,426,95MAY04,LDEAVILA ,20JUL13 0510,....... ....
OCAW    ,HH     ,GSSHIFT2,2,16-Apr-22,DKNUTESON,16AUG19 1035,....... ....
OCAW    ,Q      ,GSLOG2  ,8,99JUN02,MWELLS   ,19APR04 1604,....... ....
OLYDAMCO,ACE    ,ACECOEF ,40,19-Oct-28,HYDROMET ,19OCT28 0923,....... ....
OLYDAMCO,AF     ,ACECOEF ,9,94NOV29,CLORA    ,03FEB27 1330,....... ....
OLYTUNCO,HJ     ,GSSHIFT2,23,14-Sep-29,LDEAVILA ,14SEP29 1448,....... ....
OLYTUNCO,OLDHJ  ,GSSHIFT2,23,14-Sep-29,LDEAVILA ,15JUL31 1047,....... ....
OLYTUNCO,OLDQC  ,GSLOG2  ,13,91JAN30,LDEAVILA ,15JUL31 1048,....... ....
OLYTUNCO,QC     ,LINEAR  ,22,91JAN30,CLORA    ,15JUL31 1136,....... ....
ORCHIDCO,Q      ,LINEAR  ,30,1-Oct-16,CLORA    ,01OCT16 1140,....... ....
ORCHIDCO,QC     ,LINEAR  ,30,1-Oct-16,CLORA    ,01OCT16 1147,....... ....
OSKS    ,QC     ,LINEAR  ,179,9-Aug-14,LDEAVILA ,09AUG14 0859,....... ....
PATR    ,AF     ,LINEAR  ,218,91SEP06,BANDERSON,08APR08 1450,....... ....
PATR    ,Q      ,GSLOGLOG,3,97AUG15,KBUCKALLE,09FEB18 1503,....... ....
PAWY    ,Q      ,GSLOGLOG,11,8-Nov-26,AHILL    ,20FEB19 0710,....... ....
PBR     ,ACE    ,ACECOEF ,35,89MAY08,EKOUMA   ,96OCT03 1004,....... ....
PBR     ,AF_PBC ,ACECOEF ,10,94JUL11,JMERCHEN ,94JUL11 1130,....... ....
PBR     ,OLD    ,LINEAR  ,111,87APR09,NPHELPS  ,94MAR31 1539,....... ....
PBR     ,Q      ,GSLOGLOG,56,99AUG04,CSCHWIEGE,99AUG04 1231,....... ....
PBR     ,QED    ,LINEAR  ,31,99SEP10,CSCHWIEGE,99NOV01 1426,....... ....
PCCM    ,QC     ,LINEAR  ,341,87JAN14,NPHELPS  ,09JUN02 0914,....... ....
PCDM    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,18FEB16 1100,....... ....
PCDM    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18FEB21 1406,....... ....
PCDM    ,Q      ,GSLOG2  ,21,88OCT04,NPHELPS  ,03JUL25 1100,....... ....
PCHM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1401,....... ....
PCHM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18AUG01 0952,....... ....
PCHM    ,Q      ,GSLOG2  ,128,88OCT04,NPHELPS  ,20AUG26 0510,....... ....
PCPB    ,QC     ,LINEAR  ,56,2-Jun-25,CSCHWIEGE,06APR05 1044,....... ....
PINRESCO,ACE    ,ACECOEF ,39,19-Oct-28,HYDROMET ,19OCT28 1011,....... ....
PINRESCO,AF     ,LINEAR  ,34,91JAN28,CLORA    ,11JAN28 1403,....... ....
PINRESCO,XY     ,LINEAR  ,29,12-Apr-10,RMICHEL  ,12APR10 1623,....... ....
PIST    ,AF     ,LINEAR  ,97,87JAN14,HYDROMET ,17NOV17 1159,....... ....
PIST    ,OLD    ,LINEAR  ,180,87JAN14,LDEAVILA ,07APR04 1553,....... ....
PLACAMCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1408,....... ....
PLACAMCO,Q      ,GSLOG2  ,64,95JUL11,CLORA    ,20SEP12 0510,....... ....
PLAJURCO,Q      ,LINEAR  ,82,91JAN30,JMERCHEN ,91JAN30 0913,....... ....
PSHR    ,ACE    ,ACECOEF ,76,89MAY08,NPHELPS  ,16APR25 1138,....... ....
PSHR    ,OLD    ,LINEAR  ,67,87APR10,NPHELPS  ,05OCT03 0828,....... ....
PSHR    ,Q      ,LINEAR  ,98,91JUN03,NPHELPS  ,05JUL08 0718,....... ....
PTR     ,ACE    ,ACECOEF ,31,94FEB28,LDEAVILA ,11JUN20 1229,....... ....
PTR     ,QS     ,LINEAR  ,22,87MAR17,PDAVIDSON,93SEP10 1443,....... ....
PUER    ,ACE    ,ACECOEF ,75,94JUL20,HYDROMET ,16JUL13 1626,....... ....
PUER    ,NEW12  ,ACECOEF ,75,94JUL20,DKNUTESON,16JUL07 0853,....... ....
PUER    ,OLDACE ,ACECOEF ,35,94JUL20,LDEAVILA ,16APR14 1600,....... ....
PURBTRCO,Q      ,LINEAR  ,40,94SEP27,GSANO    ,94NOV07 1333,....... ....
PURLASCO,HH     ,GSSHIFT2,7,94SEP09,JMERCHEN ,94SEP09 0936,....... ....
PURLASCO,Q      ,LINEAR  ,80,94SEP09,JMERCHEN ,94SEP09 0945,....... ....
PURMADCO,HH     ,GSSHIFT2,0,94SEP08,CLORA    ,09JAN14 1403,....... ....
PURMADCO,Q      ,LINEAR  ,54,94SEP09,JMERCHEN ,20JUL08 0510,....... ....
PURNINCO,Q      ,LINEAR  ,84,94SEP09,CLORA    ,01OCT15 1526,....... ....
PURTHACO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1403,....... ....
PURTHACO,Q      ,GSLOG2  ,120,95JUL11,CLORA    ,20JUL25 0510,....... ....
PURTRICO,Q      ,LINEAR  ,1289,94SEP09,RMICHEL  ,11OCT27 1248,....... ....
RBMT    ,HH     ,GSSHIFT2,2,92JUL21,SMICEK   ,14SEP04 1353,....... ....
RBMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18AUG01 0950,....... ....
RBMT    ,Q      ,GSLOG2  ,208,88AUG22,RMICHEL  ,19OCT11 0510,....... ....
RCSOK   ,HH     ,GSSHIFT2,2,15-Oct-27,HYDROMET ,16AUG03 0919,....... ....
RCSOK   ,Q      ,GSLOG2  ,193,15-Oct-27,DKNUTESON,20AUG13 0510,....... ....
RCWY    ,Q      ,GSLOGLOG,10,98APR27,RDSMITH  ,02MAY22 1325,....... ....
RFCMERCO,Q      ,GSLOGLOG,16,95JUL11,MHENNEBER,06MAR27 0844,....... ....
RIFRESCO,AF     ,LINEAR  ,70,1-Oct-19,CLORA    ,01OCT19 1445,....... ....
RIFRESCO,Q      ,LINEAR  ,30,1-Oct-16,CLORA    ,01OCT16 1544,....... ....
ROAASPCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1357,....... ....
ROAASPCO,Q      ,GSLOG2  ,65,95JUL11,LDEAVILA ,20AUG29 0510,....... ....
ROABMCCO,Q      ,LINEAR  ,18,1-Jul-13,CLORA    ,11OCT26 1139,....... ....
ROADIFCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1356,....... ....
ROADIFCO,Q      ,LINEAR  ,41,1-May-09,CLORA    ,19OCT16 0510,....... ....
ROAEMMCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1356,....... ....
ROAEMMCO,Q      ,GSLOG2  ,74,95JUL11,CLORA    ,19FEB05 0510,....... ....
ROAGLECO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1411,....... ....
ROAGLECO,Q      ,GSLOG2  ,78,95JUL11,CLORA    ,20SEP02 0510,....... ....
ROALMCCO,Q      ,LINEAR  ,16,90JUL18,CLORA    ,08AUG01 1221,....... ....
RPRVNE  ,OLD    ,GSLOGLOG,3,98APR30,WPECK    ,13OCT16 0955,....... ....
RPRVNE  ,Q      ,GSLOGLOG,19,3-Apr-29,MROUSE   ,10JUN29 0729,....... ....
RRAM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1338,....... ....
RRAM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20MAR23 0643,....... ....
RRAM    ,Q      ,GSLOG2  ,38,88OCT04,NPHELPS  ,19JUN20 0510,....... ....
RRBM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1338,....... ....
RRBM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19JUN05 0725,....... ....
RRBM    ,Q      ,GSLOG2  ,52,88OCT04,NPHELPS  ,20FEB08 0510,....... ....
RRCM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1336,....... ....
RRCM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18SEP24 0750,....... ....
RRCM    ,Q      ,GSLOG2  ,38,88OCT04,NPHELPS  ,19SEP26 0510,....... ....
RUERESCO,AF     ,LINEAR  ,223,91JUL10,CLORA    ,04OCT05 1650,....... ....
RUERESCO,Q      ,LINEAR  ,38,91JUL10,GSANO    ,91JUL10 1247,....... ....
RUMT    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1351,....... ....
RUMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20APR10 0632,....... ....
RUMT    ,Q      ,GSLOG2  ,90,88OCT04,NPHELPS  ,20APR10 0510,....... ....
RVCY    ,       ,GSLOGLOG,13,18-May-03,AHILL    ,18JUN15 1335,....... ....
RVCY    ,Q      ,GSLOGLOG,13,11-May-04,JDALLING ,18MAY03 0737,....... ....
RVCY    ,QC     ,GSLOGLOG,2,7-Apr-11,AHILL    ,16MAR24 1547,....... ....
RWABNE  ,Q      ,GSLOGLOG,27,98APR30,MROUSE   ,10JUN29 0748,....... ....
RWNE    ,QR     ,LINEAR  ,42,99AUG31,MMORGAN  ,19AUG07 0906,....... ....
SACO    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1402,....... ....
SACO    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20JUL08 0822,....... ....
SACO    ,Q      ,GSLOG2  ,227,88AUG22,NPHELPS  ,20AUG26 0510,....... ....
SANFORD ,AF     ,LINEAR  ,353,91APR01,LDEAVILA ,12APR26 1623,....... ....
SANFORD ,AFOLD  ,LINEAR  ,15,91APR01,LDEAVILA ,12MAY04 1559,....... ....
SANFORD ,AR     ,LINEAR  ,40,12-Apr-25,LDEAVILA ,12APR26 1551,....... ....
SAYR    ,Q      ,GSLOGLOG,15,91APR01,GSANO    ,91APR08 0951,....... ....
SCSM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,03SEP12 1102,....... ....
SCSM    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18FEB21 1419,....... ....
SCSM    ,Q      ,GSLOG2  ,5,88OCT04,NPHELPS  ,03MAR04 0808,....... ....
SCWY    ,       ,GSSHIFT2,2,18-Mar-28,JDALLING ,18MAR28 1354,....... ....
SCWY    ,HH     ,GSSHIFT2,2,6-May-16,JDALLING ,18MAR28 1317,....... ....
SCWY    ,Q      ,GSLOG2  ,58,4-Apr-21,CSCHWIEGE,18SEP29 0510,....... ....
SEDT    ,HH     ,GSSHIFT2,3,4-Aug-11,DKNUTESON,15SEP11 0842,....... ....
SEDT    ,Q      ,GSLOG2  ,261,4-Aug-11,LDEAVILA ,18SEP11 0510,....... ....
SEMR    ,ACE    ,ACECOEF ,25,8-May-14,AHILL    ,16DEC15 1555,....... ....
SEMR    ,AF     ,LINEAR  ,40,91SEP06,CSCHWIEGE,08MAY15 1521,....... ....
SEUT    ,HH     ,GSSHIFT2,3,4-Aug-11,DKNUTESON,15SEP11 0843,....... ....
SEUT    ,Q      ,GSLOG2  ,173,4-Aug-11,DKNUTESON,20JUL31 0510,....... ....
SFKDIVCO,Q      ,LINEAR  ,16,91JUN03,MHENNEBER,06MAR27 0907,....... ....
SFKDIVCO,QC     ,LINEAR  ,14,91JUN03,CLORA    ,05MAY12 0919,....... ....
SFKSM   ,HH     ,GSSHIFT2,1,92JUL21,NPHELPS  ,08AUG12 1029,....... ....
SFKSM   ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18AUG01 0947,....... ....
SFKSM   ,Q      ,GSLOG2  ,78,88OCT04,NPHELPS  ,20JUL23 0510,....... ....
SFLM    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,18FEB16 1306,....... ....
SFLM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1457,....... ....
SFLM    ,Q      ,GSLOG2  ,3,88OCT04,NPHELPS  ,07AUG01 0954,....... ....
SFMM    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,18FEB16 1308,....... ....
SFMM    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18FEB16 1310,....... ....
SFMM    ,Q      ,GSLOG2  ,13,88OCT04,NPHELPS  ,07OCT19 1057,....... ....
SFOC    ,       ,GSLOGLOG,8,18-May-17,JDALLING ,18MAY17 1034,....... ....
SFOC    ,Q      ,GSLOGLOG,24,98AUG18,JDALLING ,18MAY17 1034,....... ....
SFOY    ,Q      ,GSLOGLOG,6,89JAN12,MWELLS   ,20MAR30 0928,....... ....
SFS     ,HH     ,GSSHIFT2,3,1-Jun-04,HYDROMET ,19MAY30 1445,....... ....
